
==========train clamp qwt=====wikitext======= lyr_qt_qwt=[10000], ect_lyr=[10000]
27 r2_score:        0.03205, quant_loss:      0.14405, qwt_mse:      0.13562
28 r2_score:        0.02967, quant_loss:      0.16339, qwt_mse:      0.15440
29 r2_score:        0.02690, quant_loss:      0.18379, qwt_mse:      0.17464
30 r2_score:        0.02531, quant_loss:      0.20494, qwt_mse:      0.19589
31 r2_score:        0.02355, quant_loss:      0.22850, qwt_mse:      0.21886
32 r2_score:        0.02233, quant_loss:      0.25522, qwt_mse:      0.24511
33 r2_score:        0.02142, quant_loss:      0.28398, qwt_mse:      0.27282
34 r2_score:        0.02264, quant_loss:      0.32082, qwt_mse:      0.30721
35 r2_score:        0.02381, quant_loss:      0.36134, qwt_mse:      0.34488
36 r2_score:        0.02723, quant_loss:      0.41012, qwt_mse:      0.38992
37 r2_score:        0.02516, quant_loss:      0.44461, qwt_mse:      0.43067
38 r2_score:        0.05294, quant_loss:      0.56384, qwt_mse:      0.51419
39 r2_score:        0.06808, quant_loss:      0.70901, qwt_mse:      0.63965

==========train clamp qwt=====wikitext======= lyr_qt_qwt=[10, 12, 25, 36, 37, 39], ect_lyr=[10000]
0 r2_score:        0.22961, quant_loss:      0.00015
1 r2_score:        0.51029, quant_loss:      0.00043
2 r2_score:        0.48138, quant_loss:      0.00069
3 r2_score:        0.60634, quant_loss:      0.00515
4 r2_score:        0.45783, quant_loss:      0.00555, qwt_mse:      0.00278
5 r2_score:        0.14471, quant_loss:      0.00431, qwt_mse:      0.00334
6 r2_score:        0.23306, quant_loss:      0.00535, qwt_mse:      0.00371
7 r2_score:        0.16495, quant_loss:      0.00619, qwt_mse:      0.00465
8 r2_score:       -0.35152, quant_loss:      0.00792
9 r2_score:        0.16452, quant_loss:      0.00971, qwt_mse:      0.00736
10 r2_score:        0.10270, quant_loss:      0.00923, qwt_mse:      0.00820
11 r2_score:        0.13487, quant_loss:      0.01351, qwt_mse:      0.01044
12 r2_score:        0.09514, quant_loss:      0.01235, qwt_mse:      0.01105
13 r2_score:        0.12546, quant_loss:      0.01824, qwt_mse:      0.01421
14 r2_score:        0.11666, quant_loss:      0.02213, qwt_mse:      0.01770
15 r2_score:        0.11894, quant_loss:      0.02619, qwt_mse:      0.02057
16 r2_score:        0.10369, quant_loss:      0.03041, qwt_mse:      0.02470
17 r2_score:        0.09705, quant_loss:      0.03493, qwt_mse:      0.02876
18 r2_score:        0.06497, quant_loss:      0.03978, qwt_mse:      0.03406
19 r2_score:        0.08762, quant_loss:      0.04739, qwt_mse:      0.03981
20 r2_score:        0.06942, quant_loss:      0.05447, qwt_mse:      0.04691
21 r2_score:        0.06767, quant_loss:      0.06669, qwt_mse:      0.05767
22 r2_score:        0.05517, quant_loss:      0.07608, qwt_mse:      0.06780
23 r2_score:        0.04959, quant_loss:      0.08871, qwt_mse:      0.08001
24 r2_score:        0.04385, quant_loss:      0.10159, qwt_mse:      0.09283
25 r2_score:        0.03240, quant_loss:      0.10580, qwt_mse:      0.10216
26 r2_score:        0.03406, quant_loss:      0.12893, qwt_mse:      0.11982
27 r2_score:        0.03205, quant_loss:      0.14405, qwt_mse:      0.13562
28 r2_score:        0.02967, quant_loss:      0.16339, qwt_mse:      0.15440
29 r2_score:        0.02690, quant_loss:      0.18379, qwt_mse:      0.17464
30 r2_score:        0.02531, quant_loss:      0.20494, qwt_mse:      0.19589
31 r2_score:        0.02355, quant_loss:      0.22850, qwt_mse:      0.21886
32 r2_score:        0.02233, quant_loss:      0.25522, qwt_mse:      0.24511
33 r2_score:        0.02142, quant_loss:      0.28398, qwt_mse:      0.27282
34 r2_score:        0.02264, quant_loss:      0.32082, qwt_mse:      0.30721
35 r2_score:        0.02381, quant_loss:      0.36134, qwt_mse:      0.34488
36 r2_score:        0.02238, quant_loss:      0.38850, qwt_mse:      0.37847
37 r2_score:        0.02158, quant_loss:      0.43253, qwt_mse:      0.42036
38 r2_score:        0.05375, quant_loss:      0.55238, qwt_mse:      0.50293
39 r2_score:        0.06866, quant_loss:      0.69544, qwt_mse:      0.62659

==========train clamp qwt=====wikitext======= lyr_qt_qwt=[25, 33, 36, 37, 39], ect_lyr=[10000]
0 r2_score:        0.22961, quant_loss:      0.00015
1 r2_score:        0.51029, quant_loss:      0.00043
2 r2_score:        0.48138, quant_loss:      0.00069
3 r2_score:        0.60634, quant_loss:      0.00515
4 r2_score:        0.45783, quant_loss:      0.00555, qwt_mse:      0.00278
5 r2_score:        0.14471, quant_loss:      0.00431, qwt_mse:      0.00334
6 r2_score:        0.23306, quant_loss:      0.00535, qwt_mse:      0.00371
7 r2_score:        0.16495, quant_loss:      0.00619, qwt_mse:      0.00465
8 r2_score:       -0.35152, quant_loss:      0.00792
9 r2_score:        0.16452, quant_loss:      0.00971, qwt_mse:      0.00736
10 r2_score:        0.13928, quant_loss:      0.01195, qwt_mse:      0.00932
11 r2_score:        0.13766, quant_loss:      0.01451, qwt_mse:      0.01126
12 r2_score:        0.13119, quant_loss:      0.01696, qwt_mse:      0.01328
13 r2_score:        0.12354, quant_loss:      0.02036, qwt_mse:      0.01610
14 r2_score:        0.11053, quant_loss:      0.02404, qwt_mse:      0.01955
15 r2_score:        0.11278, quant_loss:      0.02798, qwt_mse:      0.02235
16 r2_score:        0.09925, quant_loss:      0.03221, qwt_mse:      0.02647
17 r2_score:        0.08047, quant_loss:      0.03675, qwt_mse:      0.03096
18 r2_score:        0.08692, quant_loss:      0.04204, qwt_mse:      0.03533
19 r2_score:        0.07451, quant_loss:      0.04886, qwt_mse:      0.04174
20 r2_score:        0.06777, quant_loss:      0.05658, qwt_mse:      0.04896
21 r2_score:        0.06620, quant_loss:      0.06903, qwt_mse:      0.05994
22 r2_score:        0.05397, quant_loss:      0.07862, qwt_mse:      0.07030
23 r2_score:        0.04859, quant_loss:      0.09152, qwt_mse:      0.08276
24 r2_score:        0.04301, quant_loss:      0.10466, qwt_mse:      0.09585
25 r2_score:        0.03185, quant_loss:      0.10918, qwt_mse:      0.10548
26 r2_score:        0.03336, quant_loss:      0.13262, qwt_mse:      0.12349
27 r2_score:        0.03150, quant_loss:      0.14808, qwt_mse:      0.13960
28 r2_score:        0.02916, quant_loss:      0.16780, qwt_mse:      0.15875
29 r2_score:        0.02645, quant_loss:      0.18855, qwt_mse:      0.17935
30 r2_score:        0.02493, quant_loss:      0.21009, qwt_mse:      0.20098
31 r2_score:        0.02318, quant_loss:      0.23402, qwt_mse:      0.22434
32 r2_score:        0.02201, quant_loss:      0.26120, qwt_mse:      0.25104
33 r2_score:        0.01838, quant_loss:      0.27758, qwt_mse:      0.27214
34 r2_score:        0.01928, quant_loss:      0.32041, qwt_mse:      0.30783
35 r2_score:        0.02373, quant_loss:      0.36225, qwt_mse:      0.34575
36 r2_score:        0.02234, quant_loss:      0.38968, qwt_mse:      0.37963
37 r2_score:        0.02151, quant_loss:      0.43411, qwt_mse:      0.42193
38 r2_score:        0.05375, quant_loss:      0.55463, qwt_mse:      0.50503
39 r2_score:        0.06824, quant_loss:      0.69885, qwt_mse:      0.62967
